id,symbol,date,open,low,high,close,volume,rsi
1063408,TSLA,2024-06-20 09:30:00,180.2,179.66,181.33,181.15,5274372,45.925297869105016
1063410,TSLA,2024-06-20 08:30:00,181.71,180.08,181.9,180.19,6283277,39.85670954051591
1063412,TSLA,2024-06-20 07:30:00,182.79,181.71,183.44,181.73,4934960,47.56319914467211
1063414,TSLA,2024-06-20 06:30:00,182.43,182.0,184.2,182.79,8207254,54.035555650465284
1063416,TSLA,2024-06-20 05:30:00,184.68,180.72,185.21,182.46,17589698,52.213563059350726
1063418,TSLA,2024-06-18 11:30:00,184.4,184.17,185.1,184.8,4063915,69.89486766997585
1063420,TSLA,2024-06-18 10:30:00,185.05,184.39,185.09,184.43,4365745,68.37064031427414
1063422,TSLA,2024-06-18 09:30:00,184.67,183.84,185.35,185.04,5674512,73.92413116269893
1063424,TSLA,2024-06-18 08:30:00,184.66,183.64,185.2,184.67,6152319,72.71423836145823
1063311,TSLA,2024-05-03 09:30:00,181.37,180.62,181.83,181.5,6323990,53.21308363148827
1063313,TSLA,2024-05-03 08:30:00,179.95,179.76,181.45,181.33,7055895,52.56628779427233
1063315,TSLA,2024-05-03 07:30:00,179.61,179.51,180.88,179.96,9146630,47.280678473530415
1063317,TSLA,2024-05-03 06:30:00,181.02,178.42,181.39,179.61,13895866,45.88619844983126
1063319,TSLA,2024-05-03 05:30:00,182.1,180.59,184.78,181.04,22031088,50.80590100954556
1063321,TSLA,2024-05-02 11:30:00,180.87,179.52,181.31,179.6,6371349,45.51909245519293
1063323,TSLA,2024-05-02 10:30:00,180.87,180.46,181.75,180.89,8114329,49.83214507004713
1063325,TSLA,2024-05-02 09:30:00,180.38,179.58,181.23,180.84,7564781,49.67059289818847
1063327,TSLA,2024-05-02 08:30:00,179.75,178.41,180.56,180.4,8898357,48.2956809904706
1063329,TSLA,2024-05-02 07:30:00,179.96,178.61,180.44,179.76,11229590,46.40038428608856
1063331,TSLA,2024-05-02 06:30:00,177.94,177.21,179.95,179.95,16221907,46.88154045016444
1063333,TSLA,2024-05-02 05:30:00,182.86,176.02,184.6,177.93,26050759,41.31345015945598
1063335,TSLA,2024-05-01 11:30:00,183.8,179.06,183.82,179.5,10597698,44.575086407025545
1063337,TSLA,2024-05-01 10:30:00,182.35,180.75,185.86,183.8,15837225,55.33127896221429
1063339,TSLA,2024-05-01 09:30:00,180.0,179.86,182.48,182.3,8332282,51.678556307952064
1063341,TSLA,2024-05-01 08:30:00,181.33,179.83,182.88,179.99,7752148,45.478521924262715
1063343,TSLA,2024-05-01 07:30:00,180.5,179.36,181.63,181.37,8529787,48.83843480686193
